#country_of_birth	B*07	B*08	B*13	B*14	B*15	B*18	B*27	B*35	B*37	B*38	B*39	B*40	B*41	B*42	B*44	B*45	B*46	B*47	B*48	B*49	B*50	B*51	B*52	B*53	B*54	B*55	B*56	B*57	B*58	B*59	B*67	B*70	B*73	B*78	B*81	B*82	n
Ghana	167	40	0	36	208	42	6	142	1	2	4	11	5	132	95	70	1	1	0	28	19	14	1	288	0	1	0	119	54	0	0	0	0	9	2	0	1498
Gibraltar	16	19	2	9	12	6	4	5	0	3	1	9	1	0	24	2	0	0	0	6	3	7	0	1	0	4	1	6	1	0	0	0	0	0	0	0	142
Greece	9	11	7	7	2	19	11	24	6	6	6	12	7	0	23	1	0	0	0	12	4	25	3	3	0	8	0	5	1	0	0	0	1	0	0	0	213
Hong Kong	63	55	87	13	115	15	34	41	5	52	14	118	1	0	91	6	139	0	20	5	10	65	13	0	18	10	2	22	89	0	0	0	0	0	0	0	1103
Hungary	15	19	3	9	11	13	8	14	4	14	2	13	3	0	31	0	0	0	1	3	2	9	2	0	0	3	1	7	2	0	0	0	0	0	0	0	189
India	593	604	193	82	389	166	135	640	237	78	31	445	73	0	698	15	14	12	34	70	189	517	468	11	1	111	49	361	289	0	0	0	1	0	0	0	6506
Indonesia	12	7	4	0	13	2	4	6	0	8	3	10	0	0	7	0	5	0	0	1	0	5	0	1	2	0	1	3	5	0	0	0	0	0	0	0	99
Iran	53	39	40	38	29	55	19	105	10	45	3	27	32	2	60	4	2	1	2	36	39	93	63	9	6	21	3	11	12	0	0	0	6	0	1	0	866
Iraq	29	33	12	20	20	47	8	41	3	28	3	19	47	4	59	6	1	0	1	27	40	56	22	6	0	14	0	5	8	0	0	0	2	0	0	0	561
Israel	9	11	4	9	9	9	8	11	2	19	1	6	7	0	12	0	0	0	0	2	5	5	9	2	0	4	1	4	3	0	0	0	0	0	0	0	152
Italy	104	96	59	56	79	140	33	169	27	45	21	40	26	1	133	5	0	4	2	56	39	121	19	7	0	18	1	50	29	0	0	0	1	0	0	0	1381
Ivory Coast	6	2	0	3	6	2	1	6	1	0	0	0	2	4	0	2	0	0	0	1	1	0	0	9	0	0	0	0	2	0	0	0	0	1	0	0	49
Japan	49	6	9	0	34	1	3	23	1	3	14	32	0	0	46	2	18	0	10	0	0	39	46	1	33	1	3	3	8	0	0	0	0	0	0	0	385
Kenya	227	230	71	41	176	107	54	246	96	32	11	221	28	14	308	21	0	3	9	29	61	178	199	18	0	34	16	178	132	0	0	0	2	0	8	0	2750
Kuwait	5	9	3	1	5	0	4	3	0	1	0	3	0	0	9	0	0	0	0	0	2	2	1	0	0	2	0	4	0	0	0	0	1	0	0	0	55
Latvia	17	7	4	0	6	4	1	12	1	2	1	10	8	0	14	0	0	0	0	0	0	2	3	0	0	0	1	0	1	0	0	0	0	0	0	0	94
Lebanon	6	8	5	16	9	8	8	15	0	3	1	7	5	0	11	0	0	1	0	6	3	5	2	0	0	1	0	4	0	0	0	0	1	0	0	0	125
Libya	27	15	4	4	11	16	5	9	2	2	2	10	7	2	25	4	0	1	0	4	16	11	6	1	0	2	0	3	8	0	0	0	0	0	0	0	197
Lithuania	20	7	15	4	11	8	12	8	1	3	4	9	1	0	15	0	0	0	0	1	1	6	0	0	0	1	4	4	0	0	0	0	0	0	0	0	135
Malawi	23	18	6	9	11	6	1	17	4	5	2	13	5	3	17	2	0	0	1	2	5	5	8	4	1	6	2	6	11	0	0	0	0	0	2	0	195
Malaysia	105	72	61	17	102	20	43	70	20	41	20	150	6	0	80	7	70	4	9	8	11	56	18	1	16	17	4	38	79	0	0	0	0	0	0	0	1145
Malta	90	68	22	24	41	47	22	47	13	10	10	31	3	0	106	4	0	2	1	21	16	27	15	4	0	13	1	21	5	0	0	0	0	0	0	0	664
Mauritius	45	16	17	6	68	21	14	66	19	6	3	57	0	5	61	8	14	0	8	2	5	25	48	10	5	9	5	33	41	0	0	0	0	1	4	0	622
Mexico	7	3	1	10	7	3	4	15	0	4	11	2	2	0	10	4	0	0	5	5	1	5	6	1	0	3	0	2	0	0	0	0	0	0	0	0	111
Morocco	11	8	0	7	8	9	4	14	1	5	5	3	2	1	23	3	0	0	0	12	14	12	2	5	0	1	0	5	6	0	0	0	0	1	0	0	162
Mozambique	9	5	0	5	3	5	0	7	2	0	0	4	0	1	6	1	0	0	0	1	0	5	3	1	0	2	0	6	5	0	0	0	0	0	0	0	71
