#country_of_birth	DRB1*01	DRB1*03	DRB1*04	DRB1*07	DRB1*08	DRB1*09	DRB1*10	DRB1*11	DRB1*12	DRB1*13	DRB1*14	DRB1*15	DRB1*16	n
Spain	72	79	54	130	16	7	9	50	7	111	6	64	13	618
Sri Lanka	62	81	62	249	35	23	102	30	37	151	61	264	0	1157
Sudan	9	16	12	27	16	1	15	7	3	41	3	28	0	178
Sweden	38	60	49	45	22	5	6	17	15	65	8	72	2	404
Switzerland	31	29	32	48	13	2	4	20	8	61	11	45	3	307
Syria	7	3	4	10	0	0	0	13	1	5	1	5	0	49
Tanzania	43	92	62	117	23	11	40	74	13	70	26	129	6	706
Thailand	5	17	12	23	7	19	3	6	29	3	14	31	8	177
The Guianas	33	72	31	74	26	16	20	47	19	88	22	102	3	553
Turkey	19	26	27	25	9	7	10	48	8	35	17	43	14	288
Uganda	69	152	54	163	18	5	51	109	19	131	32	214	10	1027
Ukraine	9	12	13	20	7	0	0	16	2	13	1	13	4	110
United Kingdom	110	141	124	124	13	11	2	31	15	76	10	127	6	790
USA	316	318	356	371	55	24	30	191	47	281	58	399	36	2482
Venezuela	12	25	13	19	8	2	0	7	1	9	3	13	2	114
Vietnam	0	8	7	8	7	19	8	4	30	5	7	20	4	127
Wales	4506	6724	7302	6101	786	515	271	1578	704	4047	753	5990	232	39509
Yemen	19	32	16	27	5	1	5	15	2	26	8	29	1	186
Zambia	49	59	39	73	11	6	8	38	5	50	8	89	5	440
Zimbabwe	149	246	125	148	37	7	24	136	43	202	35	176	13	1341
