#population	f_A	f_B	f_AB	f_O	n_A	n_B	n_AB	n_O	n
african	0.416961674619055	0.156072033246114	0.0889641372941358	0.267354163460058	2709	1014	578	1737	6497
e_asian	0.274696707105719	0.262564991334489	0.0710571923743501	0.38474870017331	317	303	82	444	1154
non_british_white	0.374623569564345	0.114394699859466	0.0390283075687613	0.46950411563943	9330	2849	972	11693	24905
s_asian	0.237032339885859	0.340773620798985	0.0877615726062143	0.326823081800888	1869	2687	692	2577	7885
white_british	0.419967491057075	0.0851431757915156	0.0307144255468087	0.461472750031145	141587	28705	10355	155580	337138
