#country_of_birth	f_A	f_B	f_AB	f_O	n_A	n_B	n_AB	n_O	n
Singapore	0.356713426853707	0.156312625250501	0.0400801603206413	0.442885771543086	178	78	20	221	499
Slovakia	0.371428571428571	0.114285714285714	0.2	0.314285714285714	13	4	7	11	35
Somalia	0.445378151260504	0.109243697478992	0.0756302521008403	0.369747899159664	53	13	9	44	119
South Africa	0.402952029520295	0.111439114391144	0.0339483394833948	0.448708487084871	546	151	46	608	1355
South America	0.381578947368421	0.0921052631578947	0.0263157894736842	0.5	29	7	2	38	76
Spain	0.47887323943662	0.0647887323943662	0.028169014084507	0.425352112676056	170	23	10	151	355
Sri Lanka	0.231182795698925	0.283602150537634	0.0497311827956989	0.426075268817204	172	211	37	317	744
Sudan	0.418803418803419	0.136752136752137	0.0427350427350427	0.358974358974359	49	16	5	42	117
Sweden	0.46046511627907	0.0837209302325582	0.0558139534883721	0.395348837209302	99	18	12	85	215
Switzerland	0.402298850574713	0.137931034482759	0.0459770114942529	0.413793103448276	70	24	8	72	174
Syria	0.419354838709677	0.161290322580645	0.0967741935483871	0.32258064516129	13	5	3	10	31
Tanzania	0.283687943262411	0.307328605200946	0.0638297872340426	0.342789598108747	120	130	27	145	423
Thailand	0.221153846153846	0.355769230769231	0.0673076923076923	0.346153846153846	23	37	7	36	104
The Guianas	0.362275449101796	0.215568862275449	0.0748502994011976	0.308383233532934	121	72	25	103	334
Turkey	0.447513812154696	0.171270718232044	0.0607734806629834	0.320441988950276	81	31	11	58	181
Uganda	0.296235679214403	0.306055646481178	0.0785597381342062	0.314238952536825	181	187	48	192	611
Ukraine	0.338709677419355	0.17741935483871	0.0645161290322581	0.419354838709677	21	11	4	26	62
United Kingdom	0.414187643020595	0.105263157894737	0.0389016018306636	0.441647597254005	181	46	17	193	437
USA	0.431046931407942	0.105415162454874	0.0368231046931408	0.420216606498195	597	146	51	582	1385
Venezuela	0.46031746031746	0.0952380952380952	0.0317460317460317	0.412698412698413	29	6	2	26	63
Vietnam	0.216216216216216	0.310810810810811	0.0405405405405405	0.432432432432432	16	23	3	32	74
Wales	0.41552036199095	0.092262443438914	0.0353393665158371	0.454027149321267	9183	2039	781	10034	22100
Yemen	0.424528301886792	0.141509433962264	0.0471698113207547	0.386792452830189	45	15	5	41	106
Zambia	0.357723577235772	0.170731707317073	0.0691056910569106	0.386178861788618	88	42	17	95	246
Zimbabwe	0.45855614973262	0.108288770053476	0.0561497326203209	0.346256684491979	343	81	42	259	748
