#quantile_bin	INI30000	INI30010	INI30020	INI30030	INI30040	INI30050	INI30060	INI30070	INI30080	INI30090	INI30100	INI30110	INI30120	INI30130	INI30140	INI30150	INI30160	INI30170	INI30180	INI30190	INI30200	INI30210	INI30220	INI30230	INI30240	INI30250	INI30260	INI30270	INI30280	INI30290	INI30300
40% - 45%	7.028 (6.989-7.067)	4.538 (4.531-4.544)	14.256 (14.235-14.277)	41.311 (41.251-41.370)	91.762 (91.693-91.831)	31.606 (31.577-31.636)	34.591 (34.573-34.610)	13.568 (13.550-13.586)	255.515 (254.600-256.431)	0.235 (0.234-0.236)	9.390 (9.375-9.406)	16.512 (16.504-16.520)	1.973 (1.950-1.996)	0.478 (0.475-0.482)	4.343 (4.320-4.367)	0.176 (0.173-0.178)	0.033 (0.033-0.034)	NaN (NaN-NaN)	28.787 (28.663-28.910)	7.154 (7.110-7.198)	61.621 (61.480-61.763)	2.644 (2.613-2.675)	0.575 (0.566-0.585)	NaN (NaN-NaN)	1.364 (1.354-1.375)	0.063 (0.062-0.064)	106.685 (106.562-106.807)	83.322 (83.235-83.409)	0.292 (0.291-0.293)	0.400 (0.396-0.403)	0.018 (0.018-0.019)
45% - 50%	6.946 (6.915-6.976)	4.525 (4.518-4.531)	14.212 (14.192-14.232)	41.213 (41.155-41.271)	91.267 (91.198-91.336)	31.541 (31.512-31.570)	34.561 (34.539-34.583)	13.479 (13.463-13.496)	253.547 (252.620-254.475)	0.233 (0.232-0.234)	9.303 (9.288-9.318)	16.488 (16.480-16.496)	1.946 (1.930-1.961)	0.476 (0.471-0.480)	4.262 (4.239-4.286)	0.169 (0.167-0.171)	0.033 (0.032-0.034)	0.001 (0.000-0.002)	28.953 (28.828-29.078)	7.043 (7.004-7.081)	61.186 (61.041-61.330)	2.512 (2.483-2.541)	0.567 (0.556-0.578)	0.046 (0.008-0.083)	1.329 (1.320-1.338)	0.060 (0.060-0.061)	106.193 (106.069-106.318)	83.279 (83.188-83.370)	0.292 (0.291-0.293)	0.401 (0.398-0.405)	0.018 (0.018-0.018)
50% - 55%	6.857 (6.826-6.888)	4.508 (4.501-4.515)	14.177 (14.157-14.197)	41.064 (41.004-41.124)	91.143 (91.073-91.213)	31.485 (31.457-31.512)	34.529 (34.513-34.545)	13.429 (13.414-13.444)	249.898 (249.007-250.789)	0.231 (0.230-0.232)	9.242 (9.227-9.258)	16.447 (16.440-16.455)	1.958 (1.938-1.979)	0.470 (0.467-0.473)	4.182 (4.159-4.205)	0.164 (0.162-0.166)	0.033 (0.032-0.034)	NaN (NaN-NaN)	28.638 (28.515-28.761)	7.012 (6.964-7.059)	61.183 (61.040-61.327)	2.462 (2.432-2.492)	0.557 (0.547-0.568)	NaN (NaN-NaN)	1.316 (1.305-1.326)	0.060 (0.059-0.060)	105.881 (105.755-106.007)	82.871 (82.787-82.955)	0.288 (0.287-0.289)	0.389 (0.385-0.393)	0.018 (0.017-0.018)
55% - 60%	6.809 (6.772-6.846)	4.473 (4.467-4.480)	14.170 (14.150-14.191)	41.010 (40.951-41.070)	90.998 (90.933-91.063)	31.391 (31.364-31.418)	34.487 (34.471-34.503)	13.404 (13.389-13.419)	247.430 (246.510-248.351)	0.228 (0.227-0.229)	9.139 (9.124-9.153)	16.422 (16.414-16.430)	1.896 (1.885-1.907)	0.461 (0.458-0.464)	4.187 (4.163-4.211)	0.164 (0.162-0.166)	0.031 (0.031-0.032)	NaN (NaN-NaN)	28.155 (28.030-28.281)	6.956 (6.913-6.999)	60.769 (60.627-60.910)	2.398 (2.370-2.425)	0.528 (0.520-0.536)	NaN (NaN-NaN)	1.281 (1.270-1.292)	0.058 (0.058-0.059)	105.352 (105.225-105.479)	82.669 (82.585-82.753)	0.287 (0.286-0.288)	0.387 (0.382-0.392)	0.017 (0.017-0.017)
60% - 65%	6.682 (6.649-6.714)	4.461 (4.454-4.468)	14.109 (14.089-14.129)	40.879 (40.820-40.938)	90.713 (90.645-90.782)	31.272 (31.244-31.301)	34.480 (34.460-34.501)	13.371 (13.355-13.387)	244.810 (243.906-245.715)	0.227 (0.226-0.228)	9.094 (9.080-9.109)	16.397 (16.389-16.404)	1.928 (1.903-1.954)	0.454 (0.451-0.458)	4.163 (4.140-4.186)	0.158 (0.156-0.160)	0.031 (0.031-0.032)	NaN (NaN-NaN)	27.772 (27.650-27.893)	6.786 (6.737-6.835)	60.534 (60.393-60.675)	2.352 (2.325-2.379)	0.531 (0.522-0.540)	NaN (NaN-NaN)	1.317 (1.291-1.343)	0.058 (0.057-0.058)	105.251 (105.131-105.370)	82.424 (82.337-82.511)	0.284 (0.283-0.285)	0.379 (0.375-0.383)	0.017 (0.016-0.017)
65% - 70%	6.657 (6.629-6.686)	4.443 (4.436-4.449)	14.046 (14.026-14.067)	40.677 (40.618-40.736)	90.498 (90.431-90.565)	31.220 (31.193-31.248)	34.486 (34.468-34.504)	13.337 (13.321-13.354)	241.549 (240.619-242.480)	0.224 (0.223-0.224)	8.997 (8.982-9.011)	16.369 (16.361-16.377)	1.862 (1.847-1.876)	0.447 (0.444-0.449)	4.050 (4.027-4.073)	0.152 (0.150-0.154)	0.031 (0.030-0.031)	NaN (NaN-NaN)	27.512 (27.392-27.631)	6.693 (6.656-6.729)	60.200 (60.057-60.342)	2.257 (2.231-2.284)	0.534 (0.526-0.543)	NaN (NaN-NaN)	1.265 (1.256-1.275)	0.057 (0.056-0.058)	104.930 (104.803-105.058)	82.003 (81.916-82.090)	0.283 (0.282-0.284)	0.361 (0.358-0.364)	0.016 (0.016-0.016)
70% - 75%	6.562 (6.523-6.601)	4.434 (4.427-4.441)	14.032 (14.011-14.053)	40.680 (40.623-40.738)	90.242 (90.173-90.312)	31.129 (31.099-31.158)	34.436 (34.418-34.454)	13.336 (13.318-13.354)	233.778 (232.803-234.754)	0.221 (0.220-0.221)	8.918 (8.903-8.933)	16.342 (16.335-16.350)	1.864 (1.852-1.877)	0.440 (0.437-0.443)	4.014 (3.991-4.037)	0.147 (0.145-0.149)	0.030 (0.029-0.030)	0.002 (0.002-0.002)	27.090 (26.966-27.213)	6.647 (6.602-6.692)	59.836 (59.695-59.977)	2.215 (2.186-2.244)	0.511 (0.504-0.517)	0.029 (0.027-0.031)	1.235 (1.226-1.245)	0.056 (0.055-0.056)	104.313 (104.179-104.448)	81.822 (81.736-81.907)	0.279 (0.278-0.280)	0.353 (0.350-0.356)	0.016 (0.016-0.016)
75% - 80%	6.564 (6.534-6.594)	4.408 (4.401-4.415)	13.957 (13.937-13.978)	40.435 (40.376-40.495)	89.972 (89.905-90.040)	30.976 (30.943-31.009)	34.408 (34.391-34.424)	13.283 (13.267-13.299)	234.358 (233.435-235.282)	0.219 (0.218-0.219)	8.833 (8.819-8.847)	16.318 (16.310-16.325)	1.843 (1.829-1.857)	0.434 (0.430-0.437)	3.935 (3.914-3.957)	0.145 (0.143-0.147)	0.029 (0.028-0.030)	NaN (NaN-NaN)	27.213 (27.096-27.330)	6.448 (6.408-6.487)	59.618 (59.476-59.759)	2.137 (2.111-2.163)	0.506 (0.497-0.515)	NaN (NaN-NaN)	1.221 (1.208-1.234)	0.055 (0.054-0.056)	103.704 (103.573-103.835)	81.501 (81.416-81.587)	0.276 (0.275-0.277)	0.347 (0.343-0.350)	0.016 (0.015-0.016)
80% - 85%	6.450 (6.421-6.478)	4.392 (4.385-4.398)	13.929 (13.909-13.949)	40.331 (40.272-40.391)	89.534 (89.463-89.604)	30.895 (30.870-30.921)	34.384 (34.367-34.401)	13.209 (13.193-13.225)	227.981 (227.127-228.834)	0.216 (0.215-0.216)	8.724 (8.710-8.737)	16.286 (16.278-16.293)	1.818 (1.801-1.835)	0.421 (0.419-0.424)	3.867 (3.846-3.889)	0.135 (0.134-0.137)	0.028 (0.028-0.029)	NaN (NaN-NaN)	26.630 (26.509-26.752)	6.326 (6.292-6.360)	59.166 (59.022-59.310)	2.061 (2.037-2.085)	0.489 (0.483-0.495)	NaN (NaN-NaN)	1.196 (1.188-1.205)	0.054 (0.054-0.055)	103.473 (103.344-103.602)	81.162 (81.077-81.247)	0.274 (0.273-0.275)	0.336 (0.333-0.339)	0.015 (0.015-0.015)
85% - 90%	6.323 (6.289-6.356)	4.362 (4.356-4.369)	13.853 (13.833-13.874)	40.161 (40.103-40.219)	89.200 (89.133-89.266)	30.725 (30.698-30.752)	34.356 (34.340-34.372)	13.176 (13.161-13.192)	223.741 (222.882-224.601)	0.211 (0.210-0.212)	8.612 (8.599-8.626)	16.243 (16.236-16.250)	1.786 (1.770-1.802)	0.414 (0.411-0.417)	3.825 (3.804-3.847)	0.130 (0.128-0.132)	0.027 (0.026-0.027)	NaN (NaN-NaN)	26.334 (26.214-26.454)	6.131 (6.091-6.171)	59.008 (58.866-59.150)	1.952 (1.928-1.977)	0.479 (0.473-0.485)	NaN (NaN-NaN)	1.176 (1.167-1.186)	0.053 (0.052-0.053)	102.566 (102.435-102.697)	80.571 (80.489-80.652)	0.271 (0.270-0.272)	0.352 (0.327-0.377)	0.015 (0.014-0.015)
90% - 95%	6.144 (6.116-6.171)	4.331 (4.324-4.337)	13.778 (13.758-13.798)	39.990 (39.933-40.046)	88.675 (88.609-88.742)	30.562 (30.533-30.591)	34.329 (34.312-34.346)	13.056 (13.042-13.070)	217.247 (216.422-218.071)	0.207 (0.206-0.208)	8.451 (8.438-8.463)	16.189 (16.182-16.196)	1.752 (1.738-1.766)	0.400 (0.397-0.403)	3.689 (3.668-3.710)	0.121 (0.119-0.122)	0.025 (0.024-0.026)	NaN (NaN-NaN)	25.730 (25.617-25.844)	6.044 (6.005-6.084)	58.082 (57.938-58.225)	1.858 (1.825-1.891)	0.475 (0.468-0.482)	NaN (NaN-NaN)	1.148 (1.136-1.159)	0.051 (0.050-0.051)	101.785 (101.649-101.920)	80.137 (80.058-80.217)	0.267 (0.266-0.268)	0.311 (0.308-0.314)	0.014 (0.014-0.014)
95% - 99%	6.018 (5.987-6.049)	4.255 (4.248-4.263)	13.658 (13.635-13.680)	39.476 (39.409-39.542)	87.749 (87.673-87.825)	30.236 (30.198-30.275)	34.278 (34.260-34.296)	12.983 (12.966-13.000)	206.215 (205.295-207.134)	0.197 (0.196-0.198)	8.217 (8.203-8.230)	16.111 (16.103-16.119)	1.678 (1.668-1.689)	0.373 (0.369-0.377)	3.589 (3.567-3.612)	0.109 (0.106-0.111)	0.024 (0.023-0.025)	NaN (NaN-NaN)	24.976 (24.845-25.106)	5.778 (5.717-5.838)	57.018 (56.854-57.182)	1.672 (1.647-1.696)	0.447 (0.441-0.453)	NaN (NaN-NaN)	1.058 (1.049-1.067)	0.048 (0.047-0.048)	100.385 (100.230-100.540)	79.268 (79.164-79.372)	0.257 (0.256-0.258)	0.311 (0.282-0.339)	0.013 (0.013-0.013)
99% - 99.95%	5.667 (5.592-5.742)	4.189 (4.175-4.204)	13.440 (13.395-13.485)	39.065 (38.929-39.200)	86.433 (86.280-86.587)	29.609 (29.552-29.667)	34.168 (34.133-34.203)	12.740 (12.712-12.767)	191.393 (189.670-193.115)	0.187 (0.185-0.188)	7.931 (7.904-7.958)	16.028 (16.010-16.045)	1.589 (1.569-1.609)	0.341 (0.336-0.346)	3.287 (3.244-3.330)	0.091 (0.088-0.094)	0.021 (0.020-0.022)	NaN (NaN-NaN)	23.411 (23.173-23.650)	5.172 (5.110-5.234)	55.691 (55.347-56.036)	1.374 (1.335-1.412)	0.449 (0.432-0.466)	NaN (NaN-NaN)	1.193 (1.030-1.356)	0.047 (0.044-0.050)	98.186 (97.840-98.533)	77.908 (77.707-78.110)	0.246 (0.244-0.248)	0.265 (0.259-0.270)	0.012 (0.012-0.013)
99.95% - 100%	5.126 (4.853-5.399)	4.013 (3.943-4.082)	13.217 (12.995-13.439)	39.525 (38.993-40.057)	84.617 (84.112-85.123)	29.140 (28.908-29.373)	33.783 (33.601-33.966)	12.557 (12.465-12.650)	172.358 (165.437-179.278)	0.175 (0.169-0.181)	7.672 (7.554-7.790)	15.762 (15.705-15.820)	1.475 (1.401-1.550)	0.288 (0.271-0.304)	2.763 (2.597-2.928)	0.082 (0.073-0.090)	0.018 (0.015-0.022)	NaN (NaN-NaN)	22.858 (21.733-23.983)	4.726 (4.508-4.944)	55.785 (54.274-57.297)	1.110 (0.998-1.223)	0.369 (0.339-0.400)	NaN (NaN-NaN)	0.934 (0.837-1.032)	0.038 (0.036-0.041)	92.235 (90.392-94.079)	75.401 (74.520-76.281)	0.224 (0.216-0.233)	0.205 (0.183-0.227)	0.011 (0.009-0.012)
