#GBE_ID	pheno	pheno_plot	dataset	train_geno_and_covars	train_geno	train_covars	val_geno_and_covars	val_geno	val_covars	test_geno_and_covars	test_geno	test_covars
INI30000	White_blood_cell_(leukocyte)_count	White blood cell count	blood	0.159678506188355	0.159129990902711	0.00510301226672736	0.074511480721612	0.0685225295870344	0.00679959915467741	0.072121176341973	0.0648709816661169	0.00753967578625432
INI30010	Red_blood_cell_(erythrocyte)_count	Red blood cell count	blood	0.398472528384955	0.160300046783956	0.258163643230656	0.354065126434788	0.0991761275556814	0.259137191309968	0.354968801052046	0.104504047901154	0.256294010511292
INI30020	Haemoglobin_concentration	Haemoglobin concentration	blood	0.465804640383756	0.123629378832002	0.362445275342955	0.425087146627488	0.0584621876919604	0.368709505824637	0.420574681749118	0.0615873016418879	0.361313223756202
INI30030	Haematocrit_percentage	Haematocrit %	blood	0.429422907473538	0.125155108063861	0.326344805076791	0.381819707691019	0.055078007548319	0.328454767490284	0.382637897019776	0.0587419319666722	0.3261233647279
INI30040	Mean_corpuscular_volume	Mean corpuscular volume	blood	0.26047634910877	0.248916512412991	0.0144209443181567	0.198113304185392	0.184942705624986	0.0154486296153175	0.205617887033158	0.191607334732723	0.0155456438905616
INI30050	Mean_corpuscular_haemoglobin	Mean corpuscular haemoglobin	blood	0.231020377759473	0.216513344465622	0.0181195470874968	0.179950068660821	0.161997697890595	0.0206099484088114	0.182216899330416	0.16469110305545	0.0191973713423418
INI30060	Mean_corpuscular_haemoglobin_concentration	Mean corpuscular haemoglobin concentration	blood	0.0837122691885217	0.0804728113578609	0.0123717152424026	0.0391161028908875	0.0245675837047623	0.0148016803759897	0.0359190840430964	0.0238116634223288	0.0123857742630395
INI30070	Red_blood_cell_(erythrocyte)_distribution_width	Red blood cell distribution width	blood	0.168399666104687	0.164284168173478	0.00694461548452277	0.0849251617336772	0.0773181657263652	0.00758339692302699	0.0848322296218628	0.0791485942051931	0.00582821349205274
INI30080	Platelet_count	Platelet count	blood	0.292033442715013	0.241315230558881	0.0597324122955539	0.243685702962089	0.190165689059174	0.0584238060449463	0.240243050599797	0.186137478139566	0.0577715935100722
INI30090	Platelet_crit	Platelet crit	blood	0.29124117147838	0.216926299442025	0.0878714450465895	0.226860554019905	0.146979650811701	0.0843697467067402	0.229495783229192	0.146761715649408	0.0867124348816476
